city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Palmers Green,51.6178,-0.1092,United Kingdom,GB,Enfield,,15162,15162
New Brighton,53.4320,-3.0490,United Kingdom,GB,Wirral,,15149,15149
Netherton,52.4908,-2.0835,United Kingdom,GB,Dudley,,15017,15017
Hessle,53.7239,-0.4319,United Kingdom,GB,East Riding of Yorkshire,,15000,15000
Kew Green,51.5308,-0.2248,United Kingdom,GB,Richmond upon Thames,,14915,14915
West Wickham,51.3765,-0.0193,United Kingdom,GB,Bromley,,14884,14884
Bromborough,53.3360,-2.9780,United Kingdom,GB,Wirral,,14850,14850
Baguley,53.3990,-2.2760,United Kingdom,GB,Manchester,,14794,14794
Balham,51.4434,-0.1525,United Kingdom,GB,Wandsworth,,14751,14751
Larkhall,55.7370,-3.9720,United Kingdom,GB,South Lanarkshire,,14740,14740
Prestwick,55.4956,-4.6142,United Kingdom,GB,South Ayrshire,,14720,14720
Melksham,51.3710,-2.1380,United Kingdom,GB,Wiltshire,,14677,14677
Wibsey,53.7672,-1.7728,United Kingdom,GB,Bradford,,14671,14671
Lowton,53.4710,-2.5690,United Kingdom,GB,Wigan,,14605,14605
Moston,53.5156,-2.1848,United Kingdom,GB,Manchester,,14518,14518
Thornbury,51.6094,-2.5249,United Kingdom,GB,South Gloucestershire,,14496,14496
Deysbrook,53.4290,-2.9340,United Kingdom,GB,Liverpool,,14490,14490
Armthorpe,53.5352,-1.0522,United Kingdom,GB,Doncaster,,14457,14457
Southgate,51.6316,-0.1265,United Kingdom,GB,Enfield,,14454,14454
Dollis Hill,51.5641,-0.2341,United Kingdom,GB,Brent,,14425,14425
West Derby,53.4338,-2.9070,United Kingdom,GB,Liverpool,,14382,14382
West Drayton,51.5043,-0.4646,United Kingdom,GB,Hillingdon,,14370,14370
Rottingdean,50.8150,-0.0650,United Kingdom,GB,Brighton and Hove,,14324,14324
Kidbrooke,51.4621,0.0273,United Kingdom,GB,Greenwich,,14300,14300
Rock Ferry,53.3730,-3.0080,United Kingdom,GB,Wirral,,14298,14298
Shirley,51.3813,-0.0543,United Kingdom,GB,Croydon,,14296,14296
Patcham,50.8640,-0.1500,United Kingdom,GB,Brighton and Hove,,14277,14277
Seacroft,53.8222,-1.4599,United Kingdom,GB,Leeds,,14246,14246
Maldon,51.7318,0.6758,United Kingdom,GB,Essex,,14220,14220
Leyton,51.5700,-0.0150,United Kingdom,GB,Waltham Forest,,14184,14184
Hythe,51.0716,1.0840,United Kingdom,GB,Kent,,14170,14170
Childwall,53.3950,-2.8810,United Kingdom,GB,Liverpool,,14085,13640
Nantwich,53.0670,-2.5220,United Kingdom,GB,Cheshire East,,14045,14045
Marlow,51.5700,-0.7800,United Kingdom,GB,Buckinghamshire,,14004,14004
Pemberton,53.5360,-2.6738,United Kingdom,GB,Wigan,,13982,13982
Brierley Hill,52.4795,-2.1245,United Kingdom,GB,Dudley,,13935,13935
Rustington,50.8102,-0.5052,United Kingdom,GB,West Sussex,,13883,13883
Cosham,50.8424,-1.0660,United Kingdom,GB,Portsmouth,,13830,13830
Rosyth,56.0339,-3.4323,United Kingdom,GB,Fife,,13780,13780
Kidlington,51.8230,-1.2910,United Kingdom,GB,Oxfordshire,,13723,13723
Whitby,54.4858,-0.6206,United Kingdom,GB,North Yorkshire,,13594,13594
Rossington,53.4759,-1.0613,United Kingdom,GB,Doncaster,,13557,13557
Hilsea,50.8300,-1.0700,United Kingdom,GB,Portsmouth,,13552,13552
Clifton,53.9721,-1.0979,United Kingdom,GB,York,,13548,13548
Little Hulton,53.5300,-2.4180,United Kingdom,GB,Salford,,13469,13469
Chaddesden,52.9301,-1.4383,United Kingdom,GB,Derby,,13413,13413
Amblecote,52.4600,-2.1600,United Kingdom,GB,Dudley,,13393,13393
Egg Buckland,50.4006,-4.1136,United Kingdom,GB,Plymouth,,13351,13351
Shiremoor,55.0366,-1.5048,United Kingdom,GB,North Tyneside,,13300,13300
Shirebrook,53.2048,-1.2197,United Kingdom,GB,Derbyshire,,13300,13300
West Boldon,54.9450,-1.4410,United Kingdom,GB,South Tyneside,,13271,13271
Linlithgow,55.9791,-3.6105,United Kingdom,GB,West Lothian,,13260,13260
Dingle,53.3774,-2.9613,United Kingdom,GB,Liverpool,,13246,13246
Walsall Wood,52.6277,-1.9301,United Kingdom,GB,Walsall,,13207,13207
Fraserburgh,57.6930,-2.0050,United Kingdom,GB,Aberdeenshire,,13180,13180
Caerfyrddin,51.8560,-4.3160,United Kingdom,GB,Carmarthenshire,,13148,13148
Wollaston,52.4619,-2.1663,United Kingdom,GB,Dudley,,13092,13092
Chard,50.8728,-2.9587,United Kingdom,GB,Somerset,,13074,13074
Goodmayes,51.5631,0.1133,United Kingdom,GB,Redbridge,,13069,13069
Pendlebury,53.5075,-2.3154,United Kingdom,GB,Salford,,13069,13069
Holborn,51.5204,-0.1136,United Kingdom,GB,Camden,,13023,13023
Midsomer Norton,51.2842,-2.4817,United Kingdom,GB,Bath and North East Somerset,,13000,13000
Gornalwood,52.5230,-2.1240,United Kingdom,GB,Dudley,,12992,12992
Yiewsley,51.5130,-0.4710,United Kingdom,GB,Hillingdon,,12979,12979
Shenley Church End,52.0220,-0.7880,United Kingdom,GB,Milton Keynes,,12961,12961
Leagrave,51.9030,-0.4660,United Kingdom,GB,Luton,,12910,12910
Buckingham,51.9950,-0.9860,United Kingdom,GB,Buckinghamshire,,12890,12890
Milngavie,55.9421,-4.3137,United Kingdom,GB,East Dunbartonshire,,12795,12795
Brownhills,52.6470,-1.9330,United Kingdom,GB,Walsall,,12676,12676
Hornsey,51.5870,-0.1180,United Kingdom,GB,Haringey,,12659,12659
